"mes_num","media_bruta","media_ajustada_por_dia","mes","desvio_pct_bruto","desvio_pct_ajustado"
1,10332976.3502776,10145482.8277927,"Jan",0.579248164421875,-1.23059177153623
2,9335841.28874897,10057350.804505,"Fev",-9.12667696374692,-2.08858423319208
3,10173932.88811,9989325.23489833,"Mar",-0.968850980298674,-2.75083415943993
4,9893448.59490828,10037728.053584,"Abr",-3.69903233132836,-2.27961777286447
5,10293375.6494117,10106600.6880313,"Mai",0.193782391071351,-1.60912140882205
6,10066884.5813083,10213693.3147857,"Jun",-2.01083906295819,-0.566541617430605
7,10534478.9889066,10343329.1685433,"Jul",2.5406369462615,0.69550345012972
8,10607495.5848062,10415020.8665335,"Ago",3.251366756353,1.3934442682825
9,10316457.2780659,10466905.613371,"Set",0.418454622744568,1.89855830062629
10,10586689.2872214,10394592.1025742,"Out",3.04884216931947,1.19456394278716
11,10271945.9222107,10421745.1335763,"Nov",-0.0148105425794576,1.45890708438061
12,10868083.3278562,10670880.2029556,"Dez",5.78787883073981,3.88431391707909
