"data","producao_m3"
2015-01-01,12171005.97151
2015-02-01,10823537.99648
2015-03-01,11893518.43049
2015-04-01,11419328.12767
2015-05-01,11888261.63378
2015-06-01,11427870.9952
2015-07-01,12153759.31339
2015-08-01,12552588.18831
2015-09-01,11424773.10936
2015-10-01,11860457.90691
2015-11-01,11349421.28268
2015-12-01,12481024.96512
2016-01-01,11597168.85063
2016-02-01,10765923.55455
2016-03-01,11159478.41722
2016-04-01,10923090.87876
2016-05-01,12257982.92098
2016-06-01,12202867.40228
2016-07-01,12733059.06988
2016-08-01,12857464.78548
2016-09-01,12741490.20332
2016-10-01,12932062.03171
2016-11-01,12441671.61477
2016-12-01,13454317.35443
2017-01-01,13241003.59679
2017-02-01,11910377.67667
2017-03-01,12567783.52937
2017-04-01,12109928.19039
2017-05-01,13076945.86571
2017-06-01,12757632.63967
2017-07-01,12927061.41503
2017-08-01,12696405.09396
2017-09-01,12651851.10421
2017-10-01,12949555.92038
2017-11-01,12375461.30509
2017-12-01,12875354.23937
2018-01-01,12889260.03892
2018-02-01,11651491.61107
2018-03-01,12603923.94621
2018-04-01,12385403.3305
2018-05-01,12851124.61371
2018-06-01,12352575.38471
2018-07-01,12691798.87597
2018-08-01,12428693.96876
2018-09-01,11855956.64877
2018-10-01,12884027.90334
2018-11-01,12245479.58345
2018-12-01,13262950.25593
2019-01-01,12966799.38962
2019-02-01,11082031.43667
2019-03-01,12617704.07193
2019-04-01,12419622.79614
2019-05-01,13459873.67949
2019-06-01,12197977.95046
2019-07-01,13675415.41274
2019-08-01,14733725.91713
2019-09-01,13961986.12784
2019-10-01,14607873.07492
2019-11-01,14740355.6704
2019-12-01,15311227.46523
2020-01-01,15615834.65626
2020-02-01,13701310.36634
2020-03-01,14654648.24031
2020-04-01,14110271.7799
2020-05-01,13629741.21828
2020-06-01,14371559.16947
2020-07-01,15171754.40478
2020-08-01,15214597.4263
2020-09-01,13865864.14017
2020-10-01,14162776.80801
2020-11-01,13138309.70491
2020-12-01,13437134.50949
2021-01-01,14159958.10101
2021-02-01,12548843.00419
2021-03-01,14018536.99218
2021-04-01,14185436.1145
2021-05-01,14449445.50075
2021-06-01,13848289.57785
2021-07-01,15008886.80474
2021-08-01,14772715.90658
2021-09-01,14312681.01978
2021-10-01,13689776.14079
2021-11-01,13601431.32037
2021-12-01,13989220.34929
2022-01-01,14945904.00208
2022-02-01,12983466.76252
2022-03-01,14693081.13645
2022-04-01,14304600.50544
2022-05-01,14188437.32737
2022-06-01,13491105.83122
2022-07-01,14601125.94602
2022-08-01,15212749.16505
2022-09-01,15014034.15772
2022-10-01,15990952.13947
2022-11-01,14764266.11611
2022-12-01,15149380.61047
2023-01-01,16138145.635
2023-02-01,14519303.992
2023-03-01,15354376.906
2023-04-01,14982264.736
2023-05-01,15777909.387
2023-06-01,16057262.422
2023-07-01,17312823.656
2023-08-01,17063068.404
2023-09-01,17515199.955
2023-10-01,17463213.559
2023-11-01,17544089.799
2023-12-01,17669743.44
2024-01-01,17344377.195
2024-02-01,15898965.323
2024-03-01,16541658.229
2024-04-01,15236162.6
2024-05-01,16352784.334
2024-06-01,16272345.948
2024-07-01,15931278.385
2024-08-01,16474641.4
2024-09-01,16562423.686
2024-10-01,16121037.105
2024-11-01,15799690.653
2024-12-01,16861901.994
2025-01-01,16997021.533
2025-02-01,15527774.733
2025-03-01,17845550.541
2025-04-01,17323715.384
2025-05-01,18132704.885
2025-06-01,17921902.002
2025-07-01,19511945.328
2025-08-01,19202227.357
2025-09-01,18671815.272
2025-10-01,19861174.349
2025-11-01,17993616.94
2025-12-01,19787493.978
